time_ns,uart_tx_pin,uart_rx_pin,cs_mmio,reg_off,mmio_we,mmio_wdata,mmio_rdata,pc,mem_addr,tx_busy,mon_valid,mon_data
1206,1,0,0,0,0,0,0,40,0,0,0,65
1216,1,0,0,0,0,0,0,44,0,0,0,65
1226,1,0,1,1,0,0,0,44,16388,0,0,65
1236,1,0,0,0,0,0,0,48,0,0,0,65
1246,1,0,0,0,0,65,0,52,0,0,0,65
1256,1,0,0,0,0,0,0,36,0,0,0,65
1266,1,0,0,0,0,0,0,40,0,0,0,65
1276,1,0,0,0,0,0,0,44,0,0,0,65
1286,1,1,1,1,0,0,0,44,16388,0,0,65
1296,1,1,0,0,0,0,0,48,0,0,0,65
1306,1,1,0,0,0,65,0,52,0,0,0,65
1316,1,1,0,0,0,0,0,36,0,0,0,65
1326,1,0,0,0,0,0,0,40,0,0,0,65
1336,1,0,0,0,0,0,0,44,0,0,0,65
1346,1,0,1,1,0,0,0,44,16388,0,0,65
1356,1,0,0,0,0,0,0,48,0,0,0,65
1366,1,1,0,0,0,65,0,52,0,0,0,65
1376,1,1,0,0,0,0,0,36,0,0,0,65
1386,1,1,0,0,0,0,0,40,0,0,0,65
1396,1,1,0,0,0,0,0,44,0,0,0,65
1406,1,1,1,1,0,0,0,44,16388,0,0,65
1416,1,1,0,0,0,0,0,48,0,0,0,65
1426,1,1,0,0,0,65,0,52,0,0,0,65
1436,1,1,0,0,0,0,0,36,0,0,0,65
1446,1,1,0,0,0,0,0,40,0,0,0,65
1456,1,1,0,0,0,0,0,44,0,0,0,65
1466,1,1,1,1,0,0,2,44,16388,0,0,65
1476,1,1,0,0,0,0,0,48,0,0,0,65
1486,1,1,0,0,0,65,0,52,2,0,0,65
1496,1,1,0,0,0,0,0,56,2,0,0,65
1506,1,1,1,2,0,0,66,56,16392,0,0,65
1516,1,1,0,0,0,0,0,60,0,0,0,65
1526,1,1,1,1,0,66,0,60,16388,0,0,65
1536,1,1,0,0,0,0,0,64,0,0,0,65
1546,1,1,0,0,0,16384,0,68,0,0,0,65
1556,1,1,0,0,0,0,0,72,0,0,0,65
1566,1,1,1,0,1,66,0,76,16384,0,0,65
1576,1,1,0,0,0,0,0,68,0,0,0,65
1586,1,1,0,0,0,0,0,72,0,0,0,65
1596,1,1,0,0,0,0,0,76,0,0,0,65
1606,1,1,0,0,0,0,0,68,0,0,0,65
1616,0,1,0,0,0,0,0,72,0,1,0,65
1626,0,1,0,0,0,0,0,76,0,1,0,65
1636,0,1,0,0,0,0,0,68,0,1,0,65
1646,0,1,0,0,0,0,0,72,0,1,0,65
1656,0,1,0,0,0,0,0,76,0,1,0,65
1666,0,1,0,0,0,0,0,68,0,1,0,65
1676,0,1,0,0,0,0,0,72,0,1,0,65
1686,0,1,0,0,0,0,0,76,0,1,0,65
1696,1,1,0,0,0,0,0,68,0,1,0,65
