cycle,pc,if_inst,id_inst,ex_inst,mem_inst,wb_inst,idex_pc,idex_rd,idex_op,idex_rs1,alu_a,alu_b,alu_out,exmem_alu,memwb_rd,memwb_rdata,wb_we,wb_rd,wb_data,stall,br_taken,br_target,fwd_a,fwd_b
61,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
62,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
63,64,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
64,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
65,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
66,64,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
67,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
68,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
69,64,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
70,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
71,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
72,64,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
73,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
74,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
75,64,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
76,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
77,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
78,64,99,19,0,99,19,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
79,68,0,99,19,0,99,72,0,0,0,0,0,0,0,0,3,0,0,0,0,0,72,0,0
80,72,0,0,99,19,0,64,0,1,0,0,0,0,0,0,3,0,0,0,0,1,64,0,0
