cycle,pc,if_inst,id_inst,ex_inst,mem_inst,wb_inst,idex_pc,idex_rd,idex_op,idex_rs1,alu_a,alu_b,alu_out,exmem_alu,memwb_rd,memwb_rdata,wb_we,wb_rd,wb_data,stall,br_taken,br_target,fwd_a,fwd_b
57,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
58,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
59,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
60,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
61,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
62,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
63,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
64,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
65,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
66,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
67,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
68,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
69,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
70,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
71,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
72,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
73,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
74,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
75,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
76,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
77,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
78,140,888423,19,0,888423,19,0,0,0,0,0,0,0,144,0,305418240,1,0,0,0,0,0,0,0
79,144,0,888423,19,0,888423,148,0,0,0,0,0,0,0,28,x,1,28,144,0,0,148,0,0
80,148,0,0,888423,19,0,140,28,0,140,140,4,144,0,0,305418240,0,0,0,0,1,140,0,0
